Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Javonte Green (20163529),Javonte Green,20163529,UTIL,2400,CHI@LAL 11/15/2021 10:30PM ET,CHI,13.79
PF,Sekou Doumbouya (20163530),Sekou Doumbouya,20163530,UTIL,2200,CHI@LAL 11/15/2021 10:30PM ET,LAL,15.5
PF/C,Tyler Cook (20163486),Tyler Cook,20163486,CPT,2100,CHI@LAL 11/15/2021 10:30PM ET,CHI,11
SF/PF,Derrick Jones Jr. (20163531),Derrick Jones Jr.,20163531,UTIL,2000,CHI@LAL 11/15/2021 10:30PM ET,CHI,13.92
PF,Stanley Johnson (20163487),Stanley Johnson,20163487,CPT,1500,CHI@LAL 11/15/2021 10:30PM ET,CHI,0
PG/SG,Ayo Dosunmu (20163488),Ayo Dosunmu,20163488,CPT,1500,CHI@LAL 11/15/2021 10:30PM ET,CHI,10.06
SG/SF,Wayne Ellington (20163489),Wayne Ellington,20163489,CPT,1500,CHI@LAL 11/15/2021 10:30PM ET,LAL,13.42
SG/SF,Troy Brown Jr. (20163490),Troy Brown Jr.,20163490,CPT,1500,CHI@LAL 11/15/2021 10:30PM ET,CHI,5.4
PG/SG,Trevelin Queen (20163491),Trevelin Queen,20163491,CPT,1500,CHI@LAL 11/15/2021 10:30PM ET,LAL,0
SG,Matt Thomas (20163492),Matt Thomas,20163492,CPT,1500,CHI@LAL 11/15/2021 10:30PM ET,CHI,1.31
PG/SG,Austin Reaves (20163493),Austin Reaves,20163493,CPT,1500,CHI@LAL 11/15/2021 10:30PM ET,LAL,11.15
PG,Frank Mason III (20163494),Frank Mason III,20163494,CPT,1500,CHI@LAL 11/15/2021 10:30PM ET,LAL,0
C,DeAndre Jordan (20163495),DeAndre Jordan,20163495,CPT,1500,CHI@LAL 11/15/2021 10:30PM ET,LAL,15.44
PG/SG,Chaundee Brown Jr. (20163496),Chaundee Brown Jr.,20163496,CPT,1500,CHI@LAL 11/15/2021 10:30PM ET,LAL,0
SF,Cameron Oliver (20163497),Cameron Oliver,20163497,CPT,1500,CHI@LAL 11/15/2021 10:30PM ET,LAL,0
PG/SG,Mac McClung (20163498),Mac McClung,20163498,CPT,1500,CHI@LAL 11/15/2021 10:30PM ET,LAL,0
C,Jay Huff (20163499),Jay Huff,20163499,CPT,1500,CHI@LAL 11/15/2021 10:30PM ET,LAL,4
C,Daniel Oturu (20163500),Daniel Oturu,20163500,CPT,1500,CHI@LAL 11/15/2021 10:30PM ET,CHI,0
PG/SG,Ethan Thompson (20163501),Ethan Thompson,20163501,CPT,1500,CHI@LAL 11/15/2021 10:30PM ET,CHI,0
SF,Alfonzo McKinnie (20163502),Alfonzo McKinnie,20163502,CPT,1500,CHI@LAL 11/15/2021 10:30PM ET,LAL,0
PF,Kostas Antetokounmpo (20163503),Kostas Antetokounmpo,20163503,CPT,1500,CHI@LAL 11/15/2021 10:30PM ET,LAL,0
PG,Bryce Alford (20163504),Bryce Alford,20163504,CPT,1500,CHI@LAL 11/15/2021 10:30PM ET,CHI,0
SG/SF,Talen Horton-Tucker (20163505),Talen Horton-Tucker,20163505,CPT,1500,CHI@LAL 11/15/2021 10:30PM ET,LAL,27
PF,Trevor Ariza (20163506),Trevor Ariza,20163506,CPT,1500,CHI@LAL 11/15/2021 10:30PM ET,LAL,0
PF/C,Marko Simonovic (20163507),Marko Simonovic,20163507,CPT,1500,CHI@LAL 11/15/2021 10:30PM ET,CHI,0
PG,Devon Dotson (20163508),Devon Dotson,20163508,CPT,1500,CHI@LAL 11/15/2021 10:30PM ET,CHI,0
SF/PF,Troy Baxter (20163509),Troy Baxter,20163509,CPT,1500,CHI@LAL 11/15/2021 10:30PM ET,CHI,0
PF/C,Tyler Cook (20163532),Tyler Cook,20163532,UTIL,1400,CHI@LAL 11/15/2021 10:30PM ET,CHI,11
PF,Stanley Johnson (20163533),Stanley Johnson,20163533,UTIL,1000,CHI@LAL 11/15/2021 10:30PM ET,CHI,0
PG/SG,Ayo Dosunmu (20163534),Ayo Dosunmu,20163534,UTIL,1000,CHI@LAL 11/15/2021 10:30PM ET,CHI,10.06
SG/SF,Wayne Ellington (20163535),Wayne Ellington,20163535,UTIL,1000,CHI@LAL 11/15/2021 10:30PM ET,LAL,13.42
SG/SF,Troy Brown Jr. (20163536),Troy Brown Jr.,20163536,UTIL,1000,CHI@LAL 11/15/2021 10:30PM ET,CHI,5.4
PG/SG,Trevelin Queen (20163537),Trevelin Queen,20163537,UTIL,1000,CHI@LAL 11/15/2021 10:30PM ET,LAL,0
SG,Matt Thomas (20163538),Matt Thomas,20163538,UTIL,1000,CHI@LAL 11/15/2021 10:30PM ET,CHI,1.31
PG/SG,Austin Reaves (20163539),Austin Reaves,20163539,UTIL,1000,CHI@LAL 11/15/2021 10:30PM ET,LAL,11.15
PG,Frank Mason III (20163540),Frank Mason III,20163540,UTIL,1000,CHI@LAL 11/15/2021 10:30PM ET,LAL,0
C,DeAndre Jordan (20163541),DeAndre Jordan,20163541,UTIL,1000,CHI@LAL 11/15/2021 10:30PM ET,LAL,15.44
PG/SG,Chaundee Brown Jr. (20163542),Chaundee Brown Jr.,20163542,UTIL,1000,CHI@LAL 11/15/2021 10:30PM ET,LAL,0
SF,Cameron Oliver (20163543),Cameron Oliver,20163543,UTIL,1000,CHI@LAL 11/15/2021 10:30PM ET,LAL,0
PG/SG,Mac McClung (20163544),Mac McClung,20163544,UTIL,1000,CHI@LAL 11/15/2021 10:30PM ET,LAL,0
C,Jay Huff (20163545),Jay Huff,20163545,UTIL,1000,CHI@LAL 11/15/2021 10:30PM ET,LAL,4
C,Daniel Oturu (20163546),Daniel Oturu,20163546,UTIL,1000,CHI@LAL 11/15/2021 10:30PM ET,CHI,0
PG/SG,Ethan Thompson (20163547),Ethan Thompson,20163547,UTIL,1000,CHI@LAL 11/15/2021 10:30PM ET,CHI,0
SF,Alfonzo McKinnie (20163548),Alfonzo McKinnie,20163548,UTIL,1000,CHI@LAL 11/15/2021 10:30PM ET,LAL,0
PF,Kostas Antetokounmpo (20163549),Kostas Antetokounmpo,20163549,UTIL,1000,CHI@LAL 11/15/2021 10:30PM ET,LAL,0
PG,Bryce Alford (20163550),Bryce Alford,20163550,UTIL,1000,CHI@LAL 11/15/2021 10:30PM ET,CHI,0
SG/SF,Talen Horton-Tucker (20163551),Talen Horton-Tucker,20163551,UTIL,1000,CHI@LAL 11/15/2021 10:30PM ET,LAL,27
PF,Trevor Ariza (20163552),Trevor Ariza,20163552,UTIL,1000,CHI@LAL 11/15/2021 10:30PM ET,LAL,0
PF/C,Marko Simonovic (20163553),Marko Simonovic,20163553,UTIL,1000,CHI@LAL 11/15/2021 10:30PM ET,CHI,0
PG,Devon Dotson (20163554),Devon Dotson,20163554,UTIL,1000,CHI@LAL 11/15/2021 10:30PM ET,CHI,0
SF/PF,Troy Baxter (20163555),Troy Baxter,20163555,UTIL,1000,CHI@LAL 11/15/2021 10:30PM ET,CHI,0
